Feature	Gain	Cover	Frequency
rf_020_015	0.125508059424116	0.00382898908917353	0.00408029265547322
rf_002_016	0.04522386994762	0.00191567416298769	0.00253259544132821
rf_001_023	0.0350573666331213	0.00255871785671722	0.00384579307757246
m_e_sp_rank	0.0306069730130066	0.00129529852200117	0.000750398649282431
ctrx_quarter_normalizado	0.0265471199567669	0.00205685931905665	0.000984898227183191
rf_005_023	0.0228485732722365	0.00222650698197089	0.00103179814276334
c_e_sp	0.0226531754774739	0.0020047041766287	0.000797298564862583
rm_y_sp	0.0206636087690269	0.00177210954808715	0.000984898227183191
m_y_sp_rank	0.016697795353855	0.000941362446648008	0.000422099240221368
ccomisiones_mantenimiento_tend6	0.0157859209743868	0.0017922641710516	0.000703498733702279
rf_016_029	0.0136654731733973	0.00190674360910808	0.000797298564862583
mcuentas_saldo_rank	0.0111552781519704	0.00495399874140109	0.00276709501922897
rf_015_029	0.01027960576524	0.00214654991900218	0.00300159459712973
rf_013_015	0.00985652624205719	0.00100509301592737	0.00121939780508395
mcaja_ahorro_rank	0.00936184457738939	0.00396805683021282	0.00201669636994653
rf_018_022	0.00912335991103794	0.00213826394232022	0.00356439358409155
vm_status01	0.00813292239831475	0.0029692663468847	0.00136009755182441
vm_status06	0.00720583174174224	0.000818624837200443	0.000515899071381672
thomebanking	0.00643948539067195	0.00309570290260375	0.00661288809680143
mpasivos_margen_rank	0.00634790985819341	0.0025127632941553	0.00168839696088547
rf_013_023	0.00631013900231849	0.00284684217889795	0.00562798986961824
rf_019_021	0.0058309351057846	0.00241354222011483	0.00572178970077854
mpasivos_margen_rank_lag1	0.00567839108842797	0.00248393173526744	0.00150079729856486
rf_002_024	0.00554233284498935	0.000364224875562982	0.00023449957790076
rf_008_023	0.00513451721519874	0.00257841327108988	0.00534659037613732
mcuenta_corriente_rank	0.00441106435576671	0.00303342242137297	0.00365819341525185
mcuentas_saldo_rank_delta2	0.00432094644361988	0.00362967570864505	0.00417409248663352
cdescubierto_preacordado	0.00430139254984423	0.00304111858885446	0.00196979645436638
tcallcenter_delta2	0.00414120663440619	0.00158023955966854	0.000703498733702279
m_anclaje_pesado_rank	0.00409842541688543	0.00182486124039214	0.000844198480442735
cproductos_tend6	0.00340545514396684	0.00243780949837567	0.000797298564862583
mrentabilidad_annual_rank_delta1	0.00338204928254012	0.00322251356587281	0.00412719257105337
rf_018_023	0.00318079157271881	0.000619281123627375	0.00023449957790076
mrentabilidad_annual_rank_lag2	0.00312794648442094	0.00346898977523959	0.00300159459712973
vmr_mpagominimo	0.00299274559368075	0.00198725425014066	0.00201669636994653
Master_fechaalta_lag1	0.00293376480592221	0.00366658428324099	0.00600318919425945
mprestamos_personales_rank	0.00290597082242263	0.00266821087927606	0.00121939780508395
mcomisiones_otras_rank_delta2	0.00290449530165259	0.00265812177160983	0.00389269299315261
Master_mfinanciacion_limite_rank_delta2	0.00287507265320021	0.004508228530951	0.00745708657724416
m_anclaje_pesado_rank_delta2	0.00286512051579175	0.00260325856236717	0.0012662977206641
Visa_mconsumospesos_rank_lag2	0.0027845158129966	0.00270726130385426	0.00511209079823656
Visa_mfinanciacion_limite_rank_delta1	0.00278002319026997	0.00554270078573809	0.00773848607072507
mrentabilidad_annual_rank_delta2	0.00273932348241546	0.0043429033268916	0.00403339273989307
r_time_alta_master_lag2	0.00268330883746947	0.00418544449239724	0.00651908826564112
r_time_alta_master_lag1	0.00264950978343569	0.00330043494451535	0.00670668792796173
rf_012_023	0.00260087679398685	0.00137858884953708	0.000891098396022887
Master_fechaalta_lag2	0.0025949514255265	0.00318976314614015	0.00544039020729763
rm_anclaje_pesado	0.00259175594645023	0.00247232934570972	0.000797298564862583
Master_mfinanciacion_limite_rank_delta1	0.00258171235009619	0.00372147361260538	0.00684738767470219
r_time_alta_master	0.0025619287640838	0.00357776744349673	0.00670668792796173
r_time_alta_visa_lag2	0.00256188915769973	0.00305343549012931	0.00553419003845793
r_time_alta_master_delta2	0.00253947152318487	0.00297166687033059	0.00586248944751899
Master_mlimitecompra_rank_delta2	0.00253011588928699	0.00350577448990343	0.00675358784354188
mpayroll_rank	0.00251667380527054	0.000809850161466672	0.000328299409061064
m_anclaje_pesado_rank_delta1	0.00247744001558948	0.00322906887384369	0.00136009755182441
Visa_mfinanciacion_limite_rank_delta2	0.00244362831147964	0.00437990711354418	0.00647218835006097
Master_Fvencimiento	0.00241763328826495	0.00301377587690549	0.00506519088265641
Master_Fvencimiento_lag2	0.00238946250214293	0.00388386830752305	0.00544039020729763
thomebanking_lag1	0.00238628446054397	0.00278041955191076	0.00562798986961824
mcuentas_saldo_rank_delta1	0.00236024815070395	0.00438062668076875	0.00417409248663352
mcuenta_corriente_rank_lag2	0.00235676179283783	0.00364773482377871	0.00356439358409155
mtarjeta_visa_consumo_rank	0.0023512531633427	0.000973769091875257	0.00121939780508395
Visa_mconsumospesos_rank_delta1	0.00232357897793179	0.00353578229685393	0.00548729012287778
Visa_mpagospesos_rank_delta2	0.00230467872122507	0.00393910899465401	0.0059562892786793
cliente_edad	0.00227660477272104	0.00371496801712426	0.00403339273989307
Visa_mlimitecompra_rank_delta1	0.00227403088090693	0.00354357367639207	0.00637838851890067
Visa_mpagominimo_rank	0.00227021669799046	0.0023070016138966	0.00384579307757246
cproductos	0.00226671654377722	0.000582734860397437	0.000187599662320608
mrentabilidad_rank_delta1	0.00226563346841761	0.00338713436922995	0.00408029265547322
c_e_sp_delta2	0.0022527343737911	0.00161899170930821	0.000984898227183191
Visa_cconsumos_lag2	0.00222885636734193	0.00188798936170245	0.00347059375293125
ctrx_quarter_delta2	0.00222025252286363	0.00181338018301281	0.00131319763624425
mcomisiones_mantenimiento_rank_lag2	0.00221786454406382	0.00205322019628978	0.00215739611668699
numero_de_cliente	0.00221691732110474	0.00453843434527594	0.00445549198011444
r_time_alta_master_delta1	0.00221329629612797	0.00259116157566564	0.00586248944751899
thomebanking_lag2	0.00220254328840327	0.00243991343205218	0.00520589062939687
Master_Fvencimiento_lag1	0.00218362522296407	0.00309364446849413	0.00459619172685489
r_time_alta_visa_delta1	0.00218346445144161	0.00258009844023407	0.00473689147359535
Visa_mpagospesos_rank_delta1	0.00214476862709531	0.00292656500335563	0.00497139105149611
r_time_alta_visa_lag1	0.00214242787600725	0.00285201227783231	0.00529969046055717
vm_msaldopesos_rank	0.00213195317574532	0.000935581473898882	0.000609698902541975
Visa_mconsumospesos_rank_delta2	0.00212288461753574	0.00241297010519038	0.00483069130475565
Visa_mlimitecompra_rank_delta2	0.00210699573973459	0.00400290697069913	0.00544039020729763
mpayroll_sobre_edad_rank	0.00209668927836304	0.00200712155176603	0.000656598818122127
ctarjeta_visa_transacciones_tend6	0.00206616434253724	0.00467240950516151	0.00281399493480912
Visa_mpagospesos_rank_lag2	0.00206008502113775	0.00383132641877651	0.00515899071381672
cproductos_delta2	0.00204444299410814	0.00117938163466469	0.000328299409061064
Visa_Fvencimiento_lag2	0.00202779245629062	0.00239606785867421	0.00431479223337398
mactivos_margen_rank_delta2	0.0020212977458328	0.00429732876997169	0.00445549198011444
mcuenta_corriente_rank_delta2	0.00201953002435194	0.00239737639251467	0.00173529687646562
mcomisiones_mantenimiento_rank	0.00201799052631414	0.00285863246481524	0.00314229434387018
e_y_ratio_lag1	0.00200864419630648	0.00305115461369265	0.00464309164243504
