fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 014751	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	872	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.118610560443717	0.689513666955194	290	6416	29367	235947622.754491	1
20230730 015004	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.235999930955117	0.918719117455581	813	40559	32239	222125395.209581	2
20230730 015742	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.136630013016761	0.285605360057884	344	30566	31568	226711808.383234	3
20230730 015929	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.289026352700889	0.705041116596794	643	16621	29214	228151532.934132	4
20230730 020259	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1219	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.143090791570229	0.803456171654574	546	49169	28945	218611227.54491	5
20230730 021000	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1767	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0923525782678827	0.115845563839743	507	46648	30087	215775407.185629	6
20230730 021620	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1465	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.197852381995948	0.149168244212661	50	26013	29752	228372982.035928	7
20230730 022154	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	855	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0381655011910303	0.225910641865494	877	5348	28595	233154401.197605	8
20230730 023014	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.212733251753616	0.567258089961614	673	33727	28418	225822886.227545	9
20230730 023237	801	200895	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	452	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.189701899145263	0.979868024757609	395	13189	27876	231149485.02994	10
