Feature	Gain	Cover	Frequency
rf_042_058	0.0338400843544548	0.00342943607209796	0.00388095271233094
rf_027_054	0.0292967889330179	0.00236063961406803	0.00133076530246272
c_e_sp	0.0254436883648781	0.0012303579825272	0.000646647017447693
rf_021_074	0.0230840554190661	0.0022026961720111	0.0050350677534048
m_y_sp_rank	0.020857539060251	0.00347842243843976	0.00146566186570512
vm_status06_delta2	0.0195906362596638	0.0024221760980944	0.00031582925521038
m_e_sp_rank_lag1	0.0194969939208446	0.0014384906120865	0.00111343195057219
rf_024_062	0.0193212149773154	0.00351362243934991	0.0016690773182135
ctrx_quarter_normalizado_lag1	0.0182698511179967	0.00173086802785188	0.00088111009165472
ctrx_quarter	0.0169981052731057	0.00304502149812957	0.000816873632967864
m_e_sp_rank	0.0129929673342386	0.00188115331200354	0.00111343195057219
cdescubierto_preacordado	0.0125397387117326	0.00593043445886469	0.0025737407780534
ctrx_quarter_lag1	0.0125259529898103	0.001920759134472	0.000974252956750663
mcaja_ahorro_rank	0.0123401035332604	0.00297522765995269	0.00125046972910415
ctrx_quarter_normalizado	0.0116628257344498	0.00328530297234908	0.000817944240612645
rf_024_045	0.0114761212908158	0.00212119758439525	0.00164445334238354
mcuentas_saldo_rank	0.00989163525321498	0.00706613641591636	0.00248166852060224
foto_mes	0.00929293827964852	0.0118558868048948	0.00270970794894058
mcaja_ahorro_rank_lag1	0.00902070672735463	0.00222885096682041	0.00149992131033811
rf_043_049	0.00838634896694472	0.0011400943515592	0.00179540902029765
mtarjeta_visa_consumo_rank	0.00818309929932082	0.0013902319862555	0.00116589172516645
rf_062_068	0.00687027023579887	0.00144461083672343	0.00328355364654317
rf_049_064	0.00664149848283826	0.00249447859453665	0.0011969393468651
thomebanking	0.00550220697842089	0.00373798665261208	0.00847493011608599
rf_002_051	0.0053883340293432	0.0015276554815375	0.00100101814787019
mcuentas_saldo_rank_delta2	0.0051618641481748	0.00362336499753584	0.00675874606150213
rf_045_060	0.00507888779626819	0.00134484076917697	0.00299127775951797
mrentabilidad_annual_rank_delta1	0.00500403329618259	0.00368141944673937	0.00937959357592589
ctrx_quarter_lag2	0.00499074441124837	0.00263656638210453	0.0025062924964322
vm_status_SP	0.00497714589600902	0.00187728888831428	0.000265510695905675
rf_057_059	0.0048409166391033	0.00158742345936887	0.00118302144748295
rf_004_063	0.00484072260160329	0.0012799218813012	0.00265403635141197
mrentabilidad_annual_rank_delta2	0.004836942842585	0.00485161820522857	0.0101140304202456
mcuenta_corriente_rank	0.00482057423302121	0.00466120632085309	0.00285959301920991
m_anclaje_pesado_rank	0.00470098132203251	0.00507553280974614	0.00091429892864293
rf_006_073	0.00467908457588582	0.00228311438978455	0.00114126774933649
rf_022_058	0.00465068273678676	0.00139091972769486	0.00367432543688822
vm_status01	0.00464063606210503	0.00343072848215198	0.00117766840925904
mpasivos_margen_rank	0.00451722007477702	0.00311615256901528	0.00332637795233441
rf_001_045	0.00402087075093045	0.0016192525653303	0.0012815173508028
mprestamos_personales_rank	0.00400828271514201	0.00322488950879699	0.0011691035481008
mactivos_margen_rank_delta2	0.00395185256607249	0.00468603364295266	0.00825973797948502
rf_007_051	0.00395117310820563	0.00168365800955408	0.0013264828718836
ctrx_quarter_delta2	0.00393656183294654	0.00285250402088501	0.00394518917101779
rf_017_041	0.00392446329477239	0.00119167558008904	0.000867192192272568
cproductos_tend6	0.00387580216999522	0.00460532189179591	0.000641293979223788
ctrx_quarter_normalizado_delta2	0.00385772931996461	0.00268815974011301	0.00387559967410703
ccomisiones_mantenimiento_tend6	0.00384307949175022	0.00663610425494814	0.000740860490188416
m_anclaje_pesado_rank_delta2	0.00384247924634697	0.00690122819901149	0.00120764542331291
mrentabilidad_annual_rank_lag2	0.00375503010517487	0.00357110440536933	0.00628767869779851
mcomisiones_otras_rank_delta2	0.00366857261550306	0.00305263903638541	0.00773085780296323
mrentabilidad_rank_delta1	0.00362723329870228	0.00336801470528638	0.00728120259215523
mactivos_margen_rank	0.0036123742302601	0.00468448927823983	0.00395803646275517
mrentabilidad_rank_delta2	0.00359345594728575	0.00347035405028337	0.00809058197160963
ctarjeta_visa_transacciones_tend6	0.00353617714117277	0.00506645688503543	0.00230073582863426
cproductos_delta2	0.0034746392539039	0.00139516422718716	0.000215192136600971
mactivos_margen_rank_delta1	0.00346978105193415	0.0037230924144504	0.00767090377485549
mcomisiones_rank_delta2	0.00343315362136405	0.0029568056052383	0.00778438818520228
Master_mlimitecompra_rank_delta2	0.0033810785101788	0.00381524567715136	0.00814304174620389
Master_mfinanciacion_limite_rank_delta2	0.00331196048910697	0.00314061479380754	0.00809165257925441
mpasivos_margen_rank_delta2	0.0032196370610668	0.00335820497532553	0.00735507451964512
Visa_mlimitecompra_rank_delta2	0.00307272249538351	0.00311324750246284	0.00658102519246849
