Feature	Gain	Cover	Frequency
rf_024_045	0.0428406232759504	0.00273735663485257	0.0015650444655259
rf_042_058	0.0336505024411663	0.00234481342520816	0.00286375235263978
mcaja_ahorro_rank	0.0203259063513004	0.00289010122543149	0.00131646365900801
rf_043_049	0.0184512561669505	0.00118810786364419	0.00199625606866918
rf_021_074	0.0179559890617925	0.00190638958872133	0.0039316352051299
vm_status06_delta2	0.0173877780104009	0.00209069867291413	0.000329750049462507
mcaja_ahorro_rank_lag1	0.0156992091726954	0.00209803780582422	0.001577727159736
m_y_sp_rank	0.0150534574429982	0.00333010320049567	0.00145597329531907
c_e_sp	0.0141406168371903	0.000956850244396953	0.000672182793135111
rf_024_062	0.0138527431577463	0.00215920712596895	0.000963884759967329
ctrx_quarter	0.0126166407095392	0.00222274170532477	0.000941055910389156
cdescubierto_preacordado	0.012083146836079	0.00660109490575639	0.00200640222403726
rf_057_059	0.0103749440227991	0.00158579896640344	0.000796473196394056
m_e_sp_rank_lag1	0.010038490139087	0.00119993529263854	0.00113636940122464
m_y_sp_rank_lag1	0.0100138036331411	0.00168030950027069	0.00124797711027349
m_e_sp_rank	0.00930091158662634	0.00170043901492697	0.00105773669712204
ctrx_quarter_normalizado_lag1	0.00909192917893988	0.00150057803306542	0.00096134822112531
mcuentas_saldo_rank	0.00899269056985663	0.00640145878960874	0.00200893876287928
rf_046_053	0.00818302420424956	0.0013168543610637	0.000974030915335407
rf_022_058	0.00786714140682919	0.00167249779588447	0.00399251213733836
rf_006_073	0.00775912357564985	0.00135752781942777	0.000824375123656269
rf_049_064	0.00766843880042454	0.00151435710793537	0.00104759054175397
mtarjeta_visa_consumo_rank	0.00764338469500613	0.00108667561687707	0.00118963671690705
foto_mes	0.00748186833339459	0.0109938529258741	0.00202923107361543
vm_status_SP	0.0073666911331291	0.00125957106668124	0.000246044267675871
vm_mpagospesos_rank_lag1	0.00732748536985233	0.000699090510422109	0.000966421298809349
rf_004_063	0.00704092458594214	0.00149586283197724	0.00273692541053881
ctrx_quarter_lag2	0.0065111065589044	0.00244503601044747	0.00266336578412025
rf_011_063	0.00639185874063232	0.00122504194385788	0.00303877353273911
m_e_sp_rank_lag2	0.00619894850872514	0.00171246303148014	0.00139509636311061
rf_027_054	0.00554978613163352	0.00139033324368326	0.00117695402269695
mcuentas_saldo_rank_delta2	0.00524101781989021	0.00390591436879658	0.00679538755776967
