Feature	Gain	Cover	Frequency
rf_020_015	0.0487018283151152	0.00198221629852792	0.00520852158501581
rf_001_023	0.0429666077255949	0.00103786836991406	0.00153021353816778
rf_002_016	0.0289214289396621	0.00311254963860434	0.00810349490676634
rf_013_015	0.0263234440734824	0.00273008692665459	0.00591614018513372
rf_005_023	0.0174193183979689	0.00155715291458195	0.000290712529242627
m_y_sp_rank	0.016992872692916	0.00070535760165317	0.000473926856353736
rf_019_021	0.015101484115152	0.000660832175047368	0.0019785900972033
ctrx_quarter_normalizado	0.0150489932997368	0.00163415758146389	0.000601989931936501
c_e_sp	0.0127960721858459	0.000725361406579089	0.000436847766343154
rf_016_029	0.0126599716402301	0.000817582147891912	0.000229952675863943
mpasivos_margen_rank	0.00861183915215559	0.00243487089886902	0.00117562526562962
ctrx_quarter_lag1	0.00834354465257293	0.00100571071893457	0.000587345249327279
mcuentas_saldo_rank	0.00660586101640364	0.00430796621442047	0.00144514974343762
cdescubierto_preacordado	0.00570618763714827	0.00997196569337431	0.00558710220991376
vm_status01	0.00562346294663046	0.00459414677548311	0.00119120471521389
rf_015_029	0.00521876633712189	0.000915678196952019	0.00101453375692818
ctrx_quarter	0.00517429427081364	0.00164555872676765	0.000608221711770212
thomebanking	0.00449126500666414	0.00241916817357667	0.00813870446282681
ctrx_quarter_normalizado_lag1	0.00439658029388358	0.000899648545242701	0.000552135693266811
rf_008_023	0.00439382261082322	0.000592819277215748	0.00224593345206951
rf_017_015	0.00428677346522729	0.0019227748993191	0.00452302580330758
rf_012_023	0.00420609235248999	0.000441350607305624	0.000513810247289487
rf_018_022	0.00402674928027687	0.000590139542461211	0.00102543937163718
mcaja_ahorro_rank	0.00391301116677391	0.00158200043417124	0.000570831032767945
mrentabilidad_annual_rank_delta2	0.00384479327807666	0.00746050378224548	0.00557432706125466
m_anclaje_pesado_rank	0.00347925345921454	0.00212853111704871	0.000874941888653051
mcuentas_saldo_rank_delta2	0.00346633758808962	0.00286240845504479	0.00389735510800298
rf_015_015	0.0034024153464681	0.00240161441264911	0.00586503959049728
ccomisiones_mantenimiento_tend6	0.00338074426173614	0.00782944729045537	0.000847522057384721
mrentabilidad_annual_rank_delta1	0.00335184252408581	0.00448077060654831	0.00480501384078301
rf_013_023	0.00331291489362648	0.000601920790802603	0.00160717601911412
r_time_alta_master	0.00330892316637428	0.00241005998858942	0.00568868022120326
Master_mlimitecompra_rank_delta1	0.00329196091529552	0.002351960791748	0.00679980656555396
mrentabilidad_annual_rank_lag2	0.00326749864291099	0.00547983313599958	0.00331624163850941
Master_mlimitecompra_rank_delta2	0.00325660609028004	0.00242021310946138	0.00676179270856832
Visa_mlimitecompra_rank_delta2	0.00321503020657484	0.0026463778359435	0.00664058459080264
Visa_mfinanciacion_limite_rank_delta2	0.00321256276896436	0.00287840705694476	0.00669355471938919
r_time_alta_master_delta1	0.00319596755286929	0.00196027842682936	0.00532162838899767
Master_mfinanciacion_limite_rank_delta1	0.00315313725167261	0.00273534818759031	0.00683906677850634
r_time_alta_visa_delta2	0.00315271133550203	0.00201745808231602	0.00542819182415413
Master_mfinanciacion_limite_rank_delta2	0.00314995141453471	0.00242207406880467	0.00648759439588503
thomebanking_lag2	0.00310820787656895	0.00161158128454482	0.00711513462513975
thomebanking_lag1	0.00309263108722981	0.00146301748135513	0.00680354563345419
r_time_alta_master_lag2	0.00306771782502125	0.00180591478610938	0.00485954191432798
r_time_alta_master_lag1	0.00305394602352198	0.0015796751175628	0.00465295841284046
Visa_mfinanciacion_limite_rank_delta1	0.00304391058469807	0.00246796374119669	0.00681133535824633
mcomisiones_mantenimiento_rank	0.00303330824413524	0.00316484385537766	0.00340940674702339
rf_007_015	0.00300560503859275	0.00496832677705476	0.00859985617052144
Visa_mlimitecompra_rank_delta1	0.00298860622993642	0.00225575753017058	0.00669635902031436
mcomisiones_rank_delta2	0.00291841837858677	0.00228077603219255	0.00349727484267872
rf_010_024	0.00288056669701873	0.000352670906336115	0.000296321131092967
cliente_edad_lag2	0.00287875134153919	0.00501939907125033	0.00483025254910954
r_time_alta_master_delta2	0.00286726842760041	0.00194115858245607	0.00534842504228263
r_time_alta_visa	0.00281493396420147	0.00221372687374331	0.00492466401359027
r_time_alta_visa_lag2	0.00280702516674261	0.00181534786829598	0.00425630562642474
rf_018_012	0.00278759194734953	0.001173754788904	0.00095283913657444
rf_019_015	0.00267675719938146	0.00266503215555658	0.00580365655913523
mprestamos_personales_rank	0.00265781314514122	0.00219776927315828	0.000950346424640956
cliente_edad_lag1	0.00260501837582779	0.00572483520084567	0.00429494266139375
rf_008_025	0.00259798608094704	0.00043758532451646	0.000291958885209369
Master_Fvencimiento_lag2	0.00259470866875563	0.00187855160375879	0.00413603227563412
r_time_alta_visa_lag1	0.00259299415073975	0.00178529557229433	0.00430834098803623
rf_011_025	0.0025870526617029	0.000585168320657752	0.00177262977369915
mcuentas_saldo_rank_delta1	0.00252352376962288	0.00354349452914047	0.00341968918374901
Master_fechaalta_lag1	0.00251474590328156	0.00145833699362148	0.00339507365340586
rf_016_015	0.00251107090019213	0.00300176931156408	0.00680666152337104
rm_e_sp_delta2	0.00247675777177447	0.0027737189415572	0.00485736079138619
tcallcenter_delta2	0.0024742471426248	0.00233589019431875	0.0010918078268662
mcomisiones_otras_rank_lag2	0.002443739484703	0.0014910458968563	0.00281302541693723
mcuenta_corriente_rank_lag2	0.00241681279588854	0.00450275640113972	0.00329287246413299
mactivos_margen_rank_delta2	0.00240140880992881	0.0037419915127054	0.0041880676372456
rf_003_017	0.00239848348160409	0.000967339603600159	0.0019268663245835
active_quarter_lag2	0.00237536353722246	0.00519638009359682	0.00963557797888424
rf_012_015	0.00237091133073178	0.00182208103474183	0.00492030176770667
Master_fechaalta_lag2	0.00236581107386892	0.00162943481373022	0.003562396941941
rf_011_016	0.00236458899474738	0.00390906380981448	0.00670632986804829
rm_anclaje_pesado	0.00236428688173488	0.00302423817113926	0.000550889337300069
mpasivos_margen_rank_lag1	0.00235118977551583	0.00104601295450644	0.000964679518258492
Master_Fvencimiento	0.00234215609540465	0.00189644051916379	0.0038406459115162
r_time_alta_visa_delta1	0.00233722414606353	0.00157886498717457	0.00487574454189563
Visa_Fvencimiento_lag1	0.00233428542114212	0.00162656961404464	0.00347297090132724
mcomisiones_otras_rank_delta2	0.00232942287193308	0.00197807269174123	0.00341813123879059
vm_status06	0.00232287670326723	0.000927593929606417	0.000665554086240355
rm_e_sp_delta1	0.00231224768574866	0.00185457281169122	0.00412076441504152
rf_011_021	0.00225697668667225	0.00133386314470849	0.0027360629359909
rf_010_015	0.00224930619999763	0.00287542260597708	0.00688798625020098
Master_fechaalta	0.00224414929289254	0.00135613811670962	0.00334895848263639
mcuenta_corriente_rank_delta2	0.00223414823169753	0.0047688988551594	0.00268184645143761
Master_mfinanciacion_limite_rank	0.00223037556430724	0.00505536523013406	0.00399363610643381
vm_mlimitecompra_rank_delta2	0.00222988928766975	0.00228086815311303	0.00471839210109443
mrentabilidad_rank_delta1	0.00222851838287457	0.0038297354941742	0.00317509182527585
mrentabilidad_annual_rank_lag1	0.00222345380855668	0.00441663785078269	0.00282860486652151
Visa_Fvencimiento_lag2	0.00221897722956576	0.00173531013261596	0.00368048916978983
mrentabilidad_rank_delta2	0.0021811415310592	0.0023212542815449	0.00340317496718968
vm_fechaalta_lag2	0.00217882408455966	0.00133629681597837	0.00302739864321689
ctarjeta_visa_transacciones_tend6	0.00217766156457878	0.00351436952999652	0.00122111725841571
Master_Fvencimiento_lag1	0.00217508786660901	0.0017319647866843	0.00384158067849126
mpayroll_rank	0.00216619882760243	0.0022055786476782	0.000226213607963716
numero_de_cliente	0.00216380770034912	0.00680764712738543	0.00418370539136201
Visa_Fvencimiento	0.00213858857005728	0.00208002542177594	0.00351098475831288
Visa_mfinanciacion_limite_rank	0.00212692178080672	0.00456488776458369	0.00397525235592437
mactivos_margen_rank	0.00210755106797245	0.00290709052057242	0.00211506607556158
mcomisiones_mantenimiento_rank_delta2	0.00210173310535085	0.00427344341301267	0.00356551283185786
Master_mlimitecompra_rank	0.00209403375676868	0.00183591371090786	0.00399114339450033
mcomisiones_rank_lag2	0.00208814240260544	0.0014615942492704	0.00279183736550261
ccomisiones_otras_tend6	0.00208206560346864	0.00456997328971395	0.00303300724506723
Visa_mpagospesos_rank_delta2	0.00207687314253615	0.00141463270521457	0.00323304737772936
rm_e_sp	0.00206765859976499	0.00260579087056217	0.00401388939089338
Visa_fechaalta	0.00205795631872185	0.00129450229932765	0.00291865408511863
mactivos_margen_rank_delta1	0.00204602245594442	0.00420637946629255	0.00354931020429021
mcomisiones_otras_rank	0.00201283626410523	0.00174743434653277	0.00271705600749808
vm_mfinanciacion_limite_rank_delta2	0.00201162335354451	0.001992715804068	0.00435009391292209
Visa_mlimitecompra_rank_lag1	0.00200389162277724	0.00146775512075219	0.00301680461749959
mcuenta_corriente_rank_lag1	0.00199820790641783	0.00345923007214382	0.00273637452498258
rf_010_019	0.00199654489869465	0.00111903782527895	0.00252480559962809
vm_Fvencimiento	0.00199198516880839	0.00206244530881682	0.00327386553564017
rf_005_022	0.00199051916568836	0.000250474948161921	0.000444949080126979
rf_001_015	0.00198716826780133	0.00284403647465602	0.00652841255379584
rf_004_016	0.00197189849627357	0.00589725701595823	0.00563446373664997
Master_mfinanciacion_limite_rank_lag2	0.00196930272857285	0.00129047249551274	0.00324239504747993
mprestamos_personales_rank_delta2	0.00196596220019382	0.00427221415189449	0.000833500552758871
cliente_edad	0.00196354648791494	0.00435329145854139	0.00353996253453964
Master_mlimitecompra_rank_lag2	0.0019479501058489	0.00116557665272712	0.003281966849424
rf_006_017	0.00194580721130275	0.00144072958351573	0.00470655171941037
vm_Fvencimiento_lag2	0.00193988735636857	0.00185509924077756	0.00341221104794856
vm_Fvencimiento_lag1	0.00193939294683849	0.00185905296283044	0.0031071654250884
rf_002_019	0.00193649591398392	0.00118651342520108	0.0028373293582887
Master_mfinanciacion_limite_rank_lag1	0.0019302677814333	0.00133563345639888	0.00317166434636731
Visa_mfinanciacion_limite_rank_lag1	0.0019202636682692	0.00218229368125194	0.00303518836800903
cproductos_tend6	0.0019110754669016	0.00630366591350612	0.000722574871718812
Visa_fechaalta_lag1	0.00190486123599754	0.00120245962881043	0.00272359937632347
vm_mlimitecompra_rank_delta1	0.00190385833287923	0.00175681742101389	0.00432236249266208
mcomisiones_rank	0.00189313623839583	0.00209829188284843	0.00266751335782007
mcomisiones_mantenimiento_rank_lag2	0.0018918718493539	0.00207772381643642	0.00297006626874675
vmr_Master_mlimitecompra	0.00188706637797405	0.00164222755756183	0.00308628896264547
vm_mfinanciacion_limite_rank_delta1	0.00188229871681108	0.00176685048447621	0.00415566238211031
Visa_mfinanciacion_limite_rank_lag2	0.00188182484404414	0.00180013474040027	0.00307787605986996
mcuenta_corriente_rank	0.0018749779414301	0.0042737394842028	0.00291990044108538
Master_mlimitecompra_rank_lag1	0.00187088326695416	0.00120465037771336	0.00319472193175204
vm_fechaalta	0.00186380406896679	0.00117537329843786	0.00273325863506573
vm_fechaalta_lag1	0.00186379067263393	0.00119524359196333	0.00266533223487828
rm_e_sp_lag2	0.00186117391286984	0.00208732343345543	0.0033271472532184
Visa_fechaalta_lag2	0.00184731225417173	0.00133820864474969	0.00283795253627207
mrentabilidad_annual_rank	0.00184132694123283	0.0027783481706978	0.00263074585680118
cliente_antiguedad_lag2	0.00184049098915287	0.00352139256878964	0.00344960172695083
rf_014_015	0.00183584961047823	0.0016833225222859	0.00519387690240659
rf_008_015	0.00180859270792982	0.0044911510275913	0.00663653393391073
thomebanking_delta2	0.00180759740781006	0.00437102306788453	0.00230326582653965
vmr_Master_mlimitecompra_lag2	0.00177639584550998	0.00142554033367395	0.00282174990870443
Visa_mlimitecompra_rank_lag2	0.00175793121780517	0.00148503571563098	0.00310591906912166
rf_005_018	0.0017355364643374	0.00104891281767659	0.00332590089725166
Visa_mpagospesos_rank_delta1	0.00172404158942651	0.000871224599090493	0.0027921489544943
Visa_mconsumototal_rank_delta2	0.00172320465615336	0.000817599688115456	0.00258244956308992
mcomisiones_rank_delta1	0.00171484036753967	0.00246176556546769	0.00298564571833103
rf_008_019	0.00170943164178955	0.00192543951223274	0.00437844851116548
