Feature	Gain	Cover	Frequency
rf_020_015	0.0534076043743328	0.00184039587768695	0.00427491667779551
rf_001_023	0.0439561104809135	0.00097659700517859	0.0012672469036998
rf_002_016	0.0360361555003216	0.00254920919867403	0.00699483781833694
rf_019_021	0.028926183572893	0.000588262470608659	0.00157421080493717
rf_013_015	0.0205037088794311	0.00216124094420493	0.00509012440925061
rf_005_023	0.0191716828292671	0.00216291990845075	0.000344433673219393
ctrx_quarter	0.01455060880192	0.00171704740727232	0.00063218230677367
rf_016_029	0.014021728521921	0.00106279151751883	0.000268533365871187
ctrx_quarter_normalizado	0.0124050991757112	0.00215686249765879	0.000711925667658495
mpasivos_margen_rank	0.00865268683284696	0.00284998338222319	0.00132585347013323
mcuentas_saldo_rank	0.00761777426757349	0.00659039319929691	0.00163810156998345
m_e_sp_rank	0.00734801646855853	0.000824055295735557	0.000657162154761688
m_y_sp_rank	0.00681094338145858	0.000800564708980916	0.000515449555598897
cdescubierto_preacordado	0.00592431876774837	0.00871518627050303	0.00539997060064045
m_anclaje_pesado_rank	0.0055452899840702	0.00197864882266985	0.000873333916196453
c_e_sp	0.00554039675084134	0.000719440101572374	0.000501038104836579
vm_status01	0.00530396361371109	0.00472134171558176	0.00096844949122775
rf_018_022	0.00524175435556516	0.000602594951712164	0.000989586285679149
ccomisiones_mantenimiento_tend6	0.00513603241782124	0.00842402280286234	0.00101360537028301
mcaja_ahorro_rank	0.00464472002766714	0.00280362282162319	0.000679259712597241
rf_012_023	0.00448733145924665	0.000407603972981249	0.00053418444158991
thomebanking	0.00444192706194656	0.00164580631579827	0.00684832140225338
rf_013_023	0.00388634833228438	0.000506264429179408	0.00132825537859362
mrentabilidad_annual_rank_delta1	0.00381245779589758	0.00366162355980584	0.00494504913824328
mrentabilidad_annual_rank_delta2	0.00356513870356275	0.00697850061160465	0.00559836823946835
rf_015_029	0.00347384510687229	0.00128929533220451	0.000973253308148523
rf_010_024	0.00335555958806819	0.000351833057612143	0.000291591687090895
cliente_edad_lag2	0.00329553762677186	0.00448902996096813	0.00521790593934316
Master_mlimitecompra_rank_delta2	0.00327757035094886	0.00230046542008776	0.00659996406744943
Visa_mfinanciacion_limite_rank_delta2	0.00322343919634707	0.00331746277310673	0.00678779330905164
rf_015_015	0.00320474159737401	0.00195481320128593	0.00520109258012046
mrentabilidad_annual_rank_lag2	0.00319035490042496	0.00644166035347912	0.00344625825896224
rf_007_015	0.00317221138904186	0.00410003305796599	0.00764575501110162
mcuentas_saldo_rank_delta2	0.00317146092341965	0.0028206687988669	0.00405826453466867
Master_mfinanciacion_limite_rank_delta2	0.00314398609548182	0.00232600153718578	0.00639676261170075
Visa_mlimitecompra_rank_delta2	0.00313913243522107	0.00254311616086055	0.00655432780670209
Master_mlimitecompra_rank_delta1	0.00311396218465388	0.0022911293836124	0.00655288666162586
r_time_alta_master	0.00308731847605485	0.00205347071580341	0.00528419861284983
r_time_alta_master_delta2	0.00304449597470551	0.00181234960812544	0.0049974107426797
mcomisiones_mantenimiento_rank	0.00303905698494844	0.003528687294078	0.00337756367699519
thomebanking_lag2	0.00302919841291634	0.00126453132457058	0.00606385809909121
r_time_alta_visa_delta2	0.00302525513478469	0.00186682111776928	0.00515689746444935
Visa_mfinanciacion_limite_rank_delta1	0.00292637652402276	0.00250567228381288	0.00677049956813686
Master_mfinanciacion_limite_rank_delta1	0.00291533287812165	0.00329139143355239	0.00648755475150336
r_time_alta_master_lag2	0.00289049425392963	0.00183667755245583	0.00469140760482649
Visa_mlimitecompra_rank_delta1	0.00288255958431231	0.00209322356704167	0.00649331933180828
r_time_alta_master_delta1	0.00286964562222075	0.00191429428737163	0.00496762707777091
mprestamos_personales_rank	0.00286436167899914	0.00225503181575409	0.000921372085404179
thomebanking_lag1	0.00284166202727907	0.00111244945701655	0.0059437626760719
r_time_alta_visa	0.00278990801288131	0.00202181173551839	0.00492631425225227
mcuentas_saldo_rank_delta1	0.00267322990253555	0.00378145619067589	0.00360910765257643
r_time_alta_master_lag1	0.00266948833719014	0.00149307654307536	0.00439741400927521
r_time_alta_visa_lag2	0.00261909934399424	0.00175968882550769	0.00422928041704817
rf_018_012	0.00260463112502835	0.00126258331911294	0.00109190758609161
vm_mlimitecompra_rank_delta2	0.00258962048668871	0.00232886996184159	0.00476778829386678
cproductos_tend6	0.00256568749862808	0.0054064581644568	0.00081088429622641
tcallcenter_delta2	0.00255865674449653	0.0019303706539792	0.00122593407818116
r_time_alta_visa_lag1	0.00255119144808481	0.0016589104000795	0.00420622209582846
active_quarter_lag2	0.00254658040965017	0.00405461595972945	0.00917096688344691
rm_e_sp_delta2	0.00253296190687658	0.00208527755639907	0.00485329623505653
Master_Fvencimiento_lag2	0.00253282675256127	0.00182320126385574	0.00410053812357146
Master_fechaalta_lag2	0.00251963118450224	0.00149784100349687	0.00345442474772755
rf_016_015	0.00250831919468915	0.00223336245619129	0.00602638832710919
cliente_edad_lag1	0.00250790774060109	0.00529822237423163	0.00453864622674592
Master_Fvencimiento_lag1	0.00246678612299644	0.00178777762686897	0.00386851376629815
mcomisiones_otras_rank_delta2	0.00245362177015447	0.00185349583544389	0.00331799634717761
Master_fechaalta	0.00244430754190044	0.00129905137530971	0.00329397726257375
r_time_alta_visa_delta1	0.00243270966360436	0.00151006793579986	0.00468324111606118
rf_017_015	0.00243134637049227	0.00169144796232641	0.00384257315492598
mcuenta_corriente_rank_delta2	0.00242689423795533	0.00467087407847798	0.0029951798501017
numero_de_cliente	0.00242626346826024	0.00603595723735135	0.00450790179845298
mactivos_margen_rank_delta2	0.00236362281271014	0.00348465875083388	0.00428644583840536
rf_012_015	0.00235937770293253	0.00164415292783167	0.00430518072439638
ctarjeta_visa_transacciones_tend6	0.00232316432663961	0.00442738642955287	0.00144642927484462
rm_e_sp_delta1	0.00232050263268299	0.00172433060005928	0.00415626239985243
mcuenta_corriente_rank_lag2	0.0023036152130329	0.0043370914186337	0.00325026252859472
Visa_Fvencimiento	0.00228482489844385	0.00227252080193627	0.00361343108780513
mcomisiones_rank_lag2	0.0022830375563248	0.00139134930305914	0.00267428487979409
rf_011_021	0.00228171079704723	0.00127561872332172	0.00284770267063398
mcuenta_corriente_rank	0.00226811867933685	0.00376094556730269	0.00281743862403311
mrentabilidad_annual_rank_lag1	0.00226732411915328	0.00484452181563437	0.00293080870336335
rf_008_023	0.00224580452727883	0.000401387711432795	0.00161408248537958
Master_fechaalta_lag1	0.00223450692600773	0.00141027047916376	0.00328773230057675
Master_Fvencimiento	0.00222077340104096	0.00175497049227345	0.00380318185617564
vm_status06	0.00221296915043537	0.000497169651376157	0.000421294743951754
mrentabilidad_rank_delta1	0.00220958824666927	0.00319870920790798	0.00323248840598786
mrentabilidad_rank_delta2	0.00219090382683074	0.00196931871041252	0.00350582558877982
rm_anclaje_pesado	0.0021851285597403	0.00350905709121712	0.000645632994151833
rf_019_015	0.00218467476278348	0.00204437315974619	0.00485233547167237
mcomisiones_rank_delta2	0.00214306042509529	0.00193390810670541	0.00338813207422089
m_anclaje_pesado_rank_delta2	0.00212321262783935	0.00522554594687109	0.000963645674306977
rf_011_016	0.00212312000873195	0.00266029470119738	0.00618827695733922
mactivos_margen_rank	0.00211159997962411	0.00312898095743491	0.00211656173529239
Visa_Fvencimiento_lag2	0.0020989474051984	0.0017673348664347	0.00364801856963469
Visa_Fvencimiento_lag1	0.00208909256898492	0.00172757417071463	0.00355290299460339
vm_mfinanciacion_limite_rank_delta2	0.00208593160246604	0.0019354987388176	0.00438012026836043
rm_e_sp	0.00208117276867657	0.00253751524171017	0.00402175552607079
mcomisiones_otras_rank_lag2	0.00206633978181125	0.00140945608303995	0.00269205900240095
Master_mfinanciacion_limite_rank	0.00205107389849966	0.0053022876543558	0.00375178101512338
Visa_mfinanciacion_limite_rank	0.0020469150587146	0.00442770315050565	0.00394249254687805
mcomisiones_mantenimiento_rank_delta2	0.00202918721461407	0.00409065824850505	0.00377820200818763
mactivos_margen_rank_delta1	0.00202411894267992	0.0042946909730737	0.00367395918100686
ccomisiones_otras_tend6	0.00201703737050277	0.0038691026267131	0.00332328054579046
rf_017_021	0.00200701506289736	0.000440256138204491	0.000984302087066299
vm_mlimitecompra_rank_delta1	0.00200196869427198	0.00175162804846205	0.00434985622175956
rf_001_015	0.00200152030213126	0.00226989906989049	0.00579820702337249
cliente_edad	0.00199314750466795	0.00390515455766425	0.00379789765756279
Visa_fechaalta_lag2	0.00198625494933913	0.00126390160062254	0.0028577906861676
rf_010_015	0.00197449393866726	0.00222892149893079	0.0061042101612257
mpasivos_margen_rank_lag1	0.00197168179190592	0.00110023968451749	0.0010582808676462
cliente_antiguedad_lag2	0.00196484916135027	0.00269423642568695	0.00355722642983209
Master_mlimitecompra_rank	0.00196256451448335	0.00162130415860118	0.00374601643481845
vm_Fvencimiento	0.00195774211254125	0.00206396552932504	0.00330310451472322
Visa_fechaalta	0.00195596065596822	0.0012141781678731	0.0028366538917162
mrentabilidad_annual_rank	0.00195248410149732	0.00268974431586803	0.00274009717160867
Visa_fechaalta_lag1	0.00194691002746203	0.00108276483474523	0.00273817564484036
Visa_mfinanciacion_limite_rank_lag1	0.00194293023187943	0.00203852468999558	0.00297932725426315
mcuenta_corriente_rank_lag1	0.00192984482873436	0.00335381500062689	0.00279822335635002
Master_mfinanciacion_limite_rank_lag2	0.00192841073818967	0.00128304013424377	0.00309269733359338
rf_003_017	0.00192014911314056	0.000920958588009932	0.0019368989824555
vm_Fvencimiento_lag2	0.00190739828597291	0.00184927252169674	0.00333144703455578
Master_mlimitecompra_rank_lag2	0.00190659382801179	0.00104182615934113	0.00297932725426315
vm_Fvencimiento_lag1	0.0019008683676456	0.00185981276784215	0.00315802924371589
vm_fechaalta_lag1	0.00189121295176394	0.00116485169858822	0.00270599007147119
vmr_Master_mlimitecompra	0.00189103658343655	0.00159315313252227	0.00311719679988932
Visa_mlimitecompra_rank_lag1	0.00188135790335161	0.00135262951287493	0.00289670160322586
rf_017_016	0.00187297033913228	0.00128718712772006	0.0023404196038004
rf_010_019	0.00187127143622286	0.00129103178179353	0.00242208449145353
thomebanking_delta2	0.00186157894495184	0.00636902028856027	0.00255034640323816
mcomisiones_otras_rank	0.00185557805287241	0.00129423188094556	0.00254169953278077
rf_002_019	0.00185334482964791	0.00120820843550797	0.00276555740128877
Visa_mpagospesos_rank_delta2	0.00184665062390434	0.00164606028089663	0.00286451602985668
rf_014_015	0.00183603765844386	0.00137153949425032	0.00441855080372661
vm_mfinanciacion_limite_rank_delta1	0.00182737044595118	0.00170235530570618	0.00410342041372393
rm_e_sp_lag2	0.00181807781025376	0.00199736097601978	0.00333048627117162
rf_005_019	0.00181086333248547	0.000686634029250431	0.000891588420495389
rf_008_015	0.00180550027124495	0.00353526615862645	0.00595577221837383
vm_fechaalta	0.00180282293365127	0.00120784215540713	0.002760753584368
mcomisiones_rank_delta1	0.00179086342264965	0.00275549945887811	0.00306147252360836
mcomisiones_rank	0.00178613633269511	0.00154407932092211	0.00261952136689728
Visa_mfinanciacion_limite_rank_lag2	0.00178225812574715	0.00200527340247467	0.00293657328366827
rf_008_019	0.00178176908057663	0.00155870670551338	0.00419853598875523
mpayroll_rank	0.00177546758429951	0.00238739645572724	0.000256523823569255
Master_mlimitecompra_rank_lag1	0.00176429447414964	0.00108875381060478	0.00295771007811967
vmr_Master_mlimitecompra_lag1	0.00175257223106841	0.0013665899122296	0.00272280343069389
mcomisiones_mantenimiento_rank_lag1	0.00174991840661624	0.00260420780029566	0.00301439511778479
Master_mfinanciacion_limite_rank_lag1	0.00173184794786814	0.00124033996410824	0.00292168145121388
rm_e_sp_lag1	0.00170915115590247	0.00207590364578501	0.00307011939406575
mcomisiones_mantenimiento_rank_lag2	0.00170037641691602	0.00187719756950039	0.002984611452876
rf_005_022	0.00168952656987233	0.000270493503230875	0.000480381692077257
Visa_mconsumospesos_rank_lag1	0.00168325494156323	0.00125899115929749	0.00215162959881403
vm_fechaalta_lag2	0.00167735301271011	0.00128272770324198	0.00279678221127379
Visa_mlimitecompra_rank_lag2	0.00167212885869836	0.00149120113993107	0.00306243328699251
mpasivos_margen_rank_delta2	0.00166507021417492	0.00227617902699691	0.00246243655358802
rf_005_018	0.00166498300852068	0.000986191582700024	0.00339677894467828
cliente_antiguedad_lag1	0.00165885962448206	0.00268937967003423	0.0031661957324812
mcaja_ahorro_dolares_rank_delta2	0.0016502764348312	0.0050140371860045	0.00192777173030603
rf_006_017	0.00164878283230232	0.00126158756020412	0.00414761552939504
mcomisiones_mantenimiento_rank_delta1	0.00164633970050209	0.00441383480124213	0.00381567178016965
Visa_mpagospesos_rank_delta1	0.00164557077285007	0.000736928229764358	0.00248933792834435
mrentabilidad_rank	0.00164124139368582	0.00302555260885446	0.00244129975913662
e_y_ratio_delta2	0.00164083165831445	0.00269077623293515	0.00246051502681971
vmr_Master_mlimitecompra_lag2	0.00162985198884747	0.00141256968860877	0.00290294656522286
Visa_status	0.00162293839683304	0.00110180306522675	0.000541390166971069
m_anclaje_pesado_rank_delta1	0.00162159808128958	0.005958996660653	0.00100880155336224
mcomisiones_rank_lag1	0.0016164950687551	0.00141287309028516	0.00235242914610233
mcomisiones_otras_rank_lag1	0.00161016055774072	0.00150336425410607	0.00239854578854174
Visa_msaldototal_rank	0.00159972702995278	0.000686265297749033	0.0012336201852544
Visa_mconsumospesos_rank	0.00159784856179109	0.00150623602900932	0.00224290212030871
mcaja_ahorro_rank_delta2	0.00159642977455819	0.0015917742197054	0.00205603364209066
Visa_mconsumospesos_rank_delta2	0.00159142162089865	0.0007024751022606	0.00221455960047615
Visa_mconsumospesos_rank_lag2	0.00159014409828825	0.00103057811213974	0.00233273349672716
rf_003_013	0.00157623066646406	0.00199543200977318	0.0047250343232719
Visa_mconsumototal_rank_delta2	0.00154759362558956	0.000696026039371984	0.00225010784568987
ctrx_quarter_delta2	0.00153424662760532	0.00142135093227998	0.00159198492754403
seguros_ratio_01	0.00152466570270117	0.0013583988841007	0.00243841746898416
mcaja_ahorro_dolares_rank_delta1	0.00151361316262087	0.00411435458948031	0.00178846103960363
rf_008_021	0.00151072830201667	0.000760836371748284	0.00190423302739425
chomebanking_transacciones	0.00147584393607197	0.0017054450101195	0.00164866996720915
internet_tend6	0.00146939255761167	0.00846838375602285	0.00191528180631202
vmr_Visa_mlimitecompra	0.00146817546882599	0.00122288399012031	0.00240671227730706
Visa_mpagospesos_rank_lag2	0.00146076874148351	0.000909372206674128	0.00236587983348049
vmr_pagominimo_saldo_lag2	0.00146057591542022	0.00359980401783014	0.00179374523821648
mprestamos_personales_rank_delta2	0.00145843301151006	0.00415142838675628	0.000926656284017029
seguros_ratio_01_lag2	0.0014400396634218	0.00147208397435141	0.00237933052085865
mpasivos_margen_rank_delta1	0.00143473657073918	0.00203745812646716	0.00213769852974379
Visa_mpagospesos_rank	0.00143385126477975	0.000620679464804527	0.00196716302905637
cproductos_delta2	0.00142857182572301	0.00502045360440895	0.000289189778630509
e_y_ratio	0.00141708877942696	0.001499123903125	0.00188790004986362
Visa_mpagominimo_rank_lag1	0.00141497824091152	0.00104395062478265	0.00139646957886859
tcallcenter_delta1	0.00140994850307362	0.00154643303317298	0.00109863292978069
Visa_mconsumospesos_rank_delta1	0.00140414665839717	0.000705179405648697	0.00217949173695451
Visa_mpagominimo_rank	0.00140287534838042	0.000989138166177129	0.00150311431450974
Visa_mconsumototal_rank_delta1	0.0014020833678409	0.000756579841523496	0.00216363914111597
chomebanking_transacciones_delta2	0.00138190728686822	0.002179128364692	0.00154971133864123
cliente_antiguedad	0.001381606519794	0.00195212025605377	0.00238221281101112
e_y_ratio_delta1	0.00136596319104439	0.00146433554659421	0.00220831463847915
rf_004_016	0.00135939912979998	0.00377267376216108	0.00473848501065006
ctrx_quarter_normalizado_delta2	0.00135414986141314	0.00179677218324586	0.00160495523323012
Visa_mpagominimo_rank_lag2	0.00135290021601787	0.000868600308221694	0.00159006340077572
mv_status07_rank_delta2	0.00135031364628512	0.00861853718846707	0.00449829416461143
m_e_sp_rank_delta2	0.00134917463656614	0.0011798017283503	0.00202673035887395
e_y_ratio_lag1	0.00134903548628023	0.00106034922799427	0.0019537123416782
Master_fultimo_cierre	0.0013479721586666	0.00110379654416483	0.0025916592287568
mcaja_ahorro_rank_delta1	0.00134220739904015	0.00167054981338083	0.00176252042823146
rf_018_021	0.00134029407573413	0.000418091963437983	0.000937705062934806
e_y_ratio_lag2	0.00133756776641419	0.000695939341505394	0.00204978868009366
vmr_pagominimo_saldo	0.00131934641996974	0.0015820190345904	0.0014320178240823
mcuenta_corriente_rank_delta1	0.00130959557208586	0.00291648849037894	0.00226596044152842
m_deb_aut_rank	0.00130867701595728	0.000502022280504591	0.000662926735066615
Visa_msaldototal_rank_delta2	0.00130170119630949	0.000693535457256332	0.00175867737469484
vmr_mpagominimo	0.00129888950416202	0.000388352348080691	0.000896392237416161
Visa_mpagominimo_rank_delta2	0.00129261075550484	0.000661628231807605	0.00176252042823146
vmr_Visa_mlimitecompra_lag1	0.00129000223298848	0.00106888880442661	0.00210887562821916
rf_015_017	0.00128696096183568	0.000906931959983376	0.00188597852309531
rf_009_023	0.00128312907892891	0.000898596462647936	0.00242832945345053
mrentabilidad_rank_lag2	0.00128159982036976	0.00167495841215389	0.00233705693195586
mv_status07_rank_lag2	0.00127586582232688	0.00747745071520994	0.0048854818084257
vmr_Visa_mlimitecompra_lag2	0.00126945496540594	0.00107390624938625	0.00219918738632968
