fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 012305	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	482	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.118610560443717	0.689513666955194	290	6416	55479	473771862.275449	1
20230730 013019	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.235999930955117	0.918719117455581	813	40559	58881	457197479.041916	2
20230730 014552	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1551	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.136630013016761	0.285605360057884	344	30566	53886	460651461.077844	3
20230730 014918	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	306	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.289026352700889	0.705041116596794	643	16621	57050	463743413.173653	4
20230730 015925	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1826	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.143090791570229	0.803456171654574	546	49169	57023	456360940.119761	5
20230730 021359	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2138	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0923525782678827	0.115845563839743	507	46648	58986	452631461.077844	6
20230730 022556	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1552	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.197852381995948	0.149168244212661	50	26013	53444	464160215.568862	7
20230730 025301	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0381655011910303	0.225910641865494	877	5348	49497	480994508.982036	8
20230730 030734	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1056	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.212733251753616	0.567258089961614	673	33727	55818	457968754.491018	9
20230730 031215	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	462	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.189701899145263	0.979868024757609	395	13189	52986	470241520.958084	10
20230730 032617	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3015	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.168783978684123	0.0117617348222565	708	22070	54756	456917389.221557	11
20230730 033752	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	815	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.254083102746933	0.518724568608673	127	36458	55816	456471041.916168	12
20230730 042042	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2299	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0823924633855076	0.342089507692201	220	1440	51048	491526898.203593	13
