fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 043216	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1590	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0671204196454602	0.843301454745338	969	19143	54356	471305652.694611	14
20230730 052244	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4653	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0260735282233902	0.408307612569737	182	42699	61008	457751808.383234	15
20230730 052753	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.26703711593261	0.463673581181875	925	11021	57924	465830874.251497	16
20230730 060203	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5359	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0202131926686973	0.114550924872376	10	102	52335	476464461.077844	17
20230730 080855	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3778	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0200078121458894	0.757763162170115	552	102	49217	507419419.161677	18
20230730 095430	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0203415780695721	0.99952314298817	707	103	52065	506222245.508982	19
20230730 121712	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4444	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0203415780695721	0.99952314298817	707	103	51509	507641622.754491	20
20230730 140114	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4889	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0205139754738436	0.997654207749893	623	119	52830	506984730.538922	21
20230730 153548	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4179	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0204794502815055	0.996621504053535	662	101	48616	506922299.401198	22
20230730 162007	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1746	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0337585931508579	0.84986657565305	617	100	52882	503948251.497006	23
20230730 171441	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2581	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0200072121234394	0.87863449735403	471	135	50857	503351395.209581	24
20230730 194857	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4942	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0200692752852546	0.617059191997837	698	111	52771	509506161.676647	25
20230730 214615	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4599	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.020324196938905	0.550862724941195	605	106	49149	508078988.023952	26
20230730 232757	760	400179	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0200012387861869	0.710077808195662	665	118	49799	506705275.449102	27
