Feature	Gain	Cover	Frequency
rf_007_015	0.0420093000400122	0.00127538810727962	0.00186149565651013
rf_006_016	0.0366321662678267	0.00116136407720138	0.00180199579534314
ctrx_quarter	0.0311699016814296	0.00164714068984688	0.000569498671169767
rf_012_015	0.0284747015580521	0.00084980072265004	0.00121266383711771
ctrx_quarter_normalizado_lag1	0.0276199435706341	0.001545540881387	0.00075933156155969
rf_006_025	0.0178232637004188	0.00166358976213956	0.000606331918558857
vm_status06_tend6	0.0169698421203317	0.0006729664662051	0.000101999762000555
rf_010_029	0.0168438942667318	0.00131573355401411	0.00261232723790311
mcaja_ahorro_rank	0.0153797212058275	0.00181919365261386	0.000912331204560523
rf_002_024	0.0129188596291258	0.00142000406875744	0.000555332037558579
cdescubierto_preacordado_delta2	0.010754585750311	0.00147754668264886	0.000297499305834953
rf_004_025	0.00973349485435659	0.000832726555645819	0.000407999048002221
vm_status02	0.00905771890944963	0.00176486659600492	0.000739498274504026
ctrx_quarter_lag1	0.00896641442850667	0.00137756796858868	0.000713998334003887
rf_004_015	0.00880961966974119	0.000700720760275271	0.00125799706467352
rf_009_015	0.00792892589880726	0.000785105721298212	0.00136283015339631
rf_017_026	0.00760125267798663	0.00100016674287953	0.000504332156558301
foto_mes	0.00731921597665718	0.00669752968976797	0.00214199500201166
cdescubierto_preacordado	0.00729966781449739	0.00259961921016611	0.00173966260745392
ctrx_quarter_normalizado	0.00704705673191835	0.00226786069067128	0.000852831343393532
mpasivos_margen_rank	0.00674402827771643	0.00254069058294104	0.00215899496234509
rf_014_025	0.00638588326038431	0.000717694686122784	0.000390999087668796
rf_017_024	0.00540859829671324	0.000922414521446048	0.00250466082245808
rf_019_016	0.0052779034888487	0.000634702912119823	0.000575165324614243
rf_003_015	0.00524129040145258	0.000650942963507835	0.000781998175337591
rf_007_027	0.00486944488568195	0.000956792603868758	0.00208816179428915
mprestamos_personales_rank	0.00485075200896624	0.00529271558438517	0.000895331244227097
rf_001_028	0.00464616950619386	0.00173179555288233	0.0012721636982847
mtarjeta_visa_consumo_rank	0.00417622892973207	0.00103421591495841	0.000745164927948501
rf_004_021	0.00405067880581104	0.000867373683047713	0.00141383003439659
rf_001_015	0.00397494368657842	0.000933797574545978	0.00208249514084467
ctarjeta_visa_transacciones	0.00392162202384963	0.00212322568400852	0.000645998492670184
ctrx_quarter_normalizado_delta2	0.00353392441248965	0.00224416771880458	0.00239699440701305
rf_014_015	0.00353318980887018	0.00120563727590899	0.00271149367318143
mcuentas_saldo_rank	0.00342113074991757	0.00390756017282821	0.00145916326195239
ccomisiones_mantenimiento_tend6	0.00339952325414408	0.00469842084114222	0.000657331799559134
vm_status01	0.00338783334315936	0.00136163102131891	0.000645998492670184
mcuentas_saldo_rank_delta2	0.00335208586428447	0.00244394066256686	0.00425565673680095
mrentabilidad_annual_rank_delta2	0.00326650523334321	0.00277395505576731	0.00657048466886911
rf_002_023	0.00325191252364635	0.00155125786500083	0.00588765292880983
