Feature	Gain	Cover	Frequency
rf_005_016	0.0827921907063525	0.00194306585727833	0.00159777292019957
vm_status_SP_tend12	0.0369483708528727	0.00201954294054219	0.000362684650597449
c_e_sp	0.0338109206631598	0.00100805859365419	0.000225452620641658
rf_019_016	0.0256107346484669	0.00129100364209061	0.00287207034121764
m_y_sp_rank	0.0200258349071863	0.00108687635262895	0.000392091514159405
rf_033_015	0.0189522654421317	0.00135396644306829	0.00135271572384995
ctrx_quarter_normalizado	0.0166648141318023	0.000402351773033477	0.000323475499181509
rf_033_024	0.0165028300214019	0.00110698591503226	0.00143113402668183
rf_043_019	0.0155579157326608	0.00163556553616802	0.000411696089867375
ctrx_quarter	0.012754031922031	0.00150208744232962	0.000450905241283316
vm_status06_delta2	0.0123784641819626	0.00103100465796228	0.000205848044933688
rf_049_025	0.0116662697281465	0.00133251963445106	0.000872403619004676
cdescubierto_preacordado	0.0109204804735974	0.00333288884741816	0.00129390199672604
rf_044_015	0.0097481250779891	0.00106162088627808	0.000921415058274601
mcuentas_saldo_rank	0.00816427610395139	0.00365156445754792	0.00140172716311987
m_y_sp_rank_lag1	0.00639845720552234	0.00104034459832592	0.000392091514159405
mcaja_ahorro_rank	0.00634939702328398	0.00103008812175837	0.000627346422655048
rf_024_023	0.00624998987467971	0.000464630512004739	0.000264661772057598
rf_027_027	0.00610970311786612	0.000628739877189168	0.000892008194712646
rf_034_021	0.00562652619561183	0.000983875635978593	0.00228393306997853
foto_mes	0.00559932194659681	0.00359208105008291	0.00183302782869522
mprestamos_personales_rank	0.00517027503163279	0.00135435993706967	0.000539125831969182
cdescubierto_preacordado_tend12	0.00392653152871178	0.00266456402790749	0.000480312104845271
mcuentas_saldo_rank_delta3	0.00367004720384572	0.00222168860767248	0.00359743964241254
cproductos_tend12	0.00356351912211542	0.00189389177492129	0.00078418302831881
m_anclaje_pesado_rank	0.00345457505114016	0.00288341003174708	0.000686160149778958
mactivos_margen_rank	0.00335646611070174	0.00183485916352677	0.00177421410157131
rf_005_021	0.00327722519891613	0.000776245893622389	0.00201927129792093
thomebanking	0.00321532922851106	0.00152631206524027	0.00400913573227991
ccomisiones_mantenimiento_tend6	0.00307924220876815	0.00198683434548165	0.000333277787035494
ctrx_quarter_delta3	0.00291488733146984	0.000986063011335335	0.00181342325298725
internet_tend12	0.00268247236442628	0.00161005235895709	0.00199966672221296
rf_006_016	0.00264801630729829	0.000601317917582731	0.000911612770420616
Visa_delinquency_tend12	0.00263820910130523	0.00280876809920442	0.000882205906858661
vmr_Master_mlimitecompra_delta1	0.00263321531825227	0.00129672751509453	0.000225452620641658
mcuentas_saldo_rank_delta2	0.00259718675327967	0.00160153166993736	0.00300930237117343
mcuentas_saldo_rank_tend12	0.00257893262469924	0.002772726780176	0.00220551476714665
vm_Finiciomora_tend12	0.00253554082067222	0.00433147844734407	0.00119587911818618
mcomisiones_otras_rank_lag3	0.00231583436857564	0.00150855634119932	0.00306811609829734
mcuenta_corriente_rank_lag2	0.00230875115320992	0.00126551392013077	0.00119587911818618
mprestamos_personales_rank_delta3	0.00224522260496373	0.000959725436480678	0.000362684650597449
mrentabilidad_annual_rank_delta2	0.0022077054258745	0.00191975193150064	0.00476391189703677
m_anclaje_pesado_rank_delta2	0.00220601664486363	0.00350898592422196	0.000813589891880765
m_anclaje_pesado_rank_lag1	0.00219703105563114	0.00104356677581505	0.000411696089867375
mcomisiones_rank_lag3	0.00218566726802768	0.00135770364640832	0.00311712753756727
mrentabilidad_annual_rank_lag3	0.00217289904002963	0.00175990300979338	0.00354842820314261
vm_status01	0.00216531517361376	0.000677173585143715	0.000392091514159405
mrentabilidad_annual_rank_delta1	0.00212331257454602	0.00171780469381521	0.00427379750433751
mcuenta_corriente_rank	0.00208671517141572	0.00236745626340797	0.00163698207161552
vm_fechaalta_tend6	0.00202638680982734	0.00087890962660205	0.000568532695531137
c_deb_aut_tend12	0.00196362788787873	0.00183091472265181	0.00124489055745611
mactivos_margen_rank_delta2	0.0019453661195515	0.00309449551443025	0.00439142495858533
rf_030_021	0.00192266014516116	0.000984616307282994	0.0013821225874119
mcomisiones_rank_delta3	0.00190324779432043	0.00116389983437913	0.00365625336953645
Master_fultimo_cierre_avg12	0.0018471327585771	0.0019997993592297	0.0034896144760187
mrentabilidad_annual_rank_lag2	0.00183903762068391	0.00151748279616614	0.00331317329464697
mcuentas_saldo_rank_tend6	0.00183206783631762	0.00169044181768936	0.00192124841938108
mrentabilidad_annual_rank_delta3	0.001790857623637	0.00153076173420301	0.00448944783712518
mpasivos_margen_rank	0.00176265860960646	0.0020392490132464	0.00112726310320829
Visa_mpagospesos_rank	0.00172672532380938	0.000719284173067604	0.00186243469225717
vm_fultimo_cierre_tend12	0.00172461660689102	0.00112501409606158	0.00222511934285462
internet_avg12	0.00170446512165166	0.00219114818831168	0.00188203926796514
