fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 193536	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	734	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.118610560443717	0.689513666955194	290	6416	11250	66378695.6521739	1
20230730 193913	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.235999930955117	0.918719117455581	813	40559	11152	68785259.3703148	2
20230730 194550	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	597	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.136630013016761	0.285605360057884	344	30566	10885	68431236.8815592	3
20230730 194850	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.289026352700889	0.705041116596794	643	16621	9615	66524355.3223388	4
20230730 195304	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.143090791570229	0.803456171654574	546	49169	12357	68516286.3568216	5
20230730 200115	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1544	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0923525782678827	0.115845563839743	507	46648	11879	68376013.4932534	6
20230730 200420	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	224	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.197852381995948	0.149168244212661	50	26013	13039	68376853.0734633	7
20230730 201825	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1716	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0381655011910303	0.225910641865494	877	5348	13824	68054476.7616192	8
20230730 202414	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.212733251753616	0.567258089961614	673	33727	11719	68762400.2998501	9
20230730 202735	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.189701899145263	0.979868024757609	395	13189	12543	67002184.4077961	10
20230730 202913	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.168783978684123	0.0117617348222565	708	22070	12122	66075019.4902549	11
20230730 203742	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	522	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.254083102746933	0.518724568608673	127	36458	12313	65959410.7946027	12
20230730 204407	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0823924633855076	0.342089507692201	220	1440	12487	69117230.8845577	13
20230730 205106	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0671204196454602	0.843301454745338	969	19143	13137	68794337.3313343	14
20230730 205621	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	121	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0260735282233902	0.408307612569737	182	42699	10879	63835623.6881559	15
20230730 210054	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.26703711593261	0.463673581181875	925	11021	13095	68412511.2443778	16
20230730 210759	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0786801586142059	0.48044878946038	542	10370	12377	70091788.6056972	17
20230730 211532	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	832	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0796874678044118	0.226773005007225	600	18686	13906	68224668.6656672	18
20230730 213052	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1646	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0756917017590441	0.794292309563398	539	5893	12761	66398799.1004498	19
20230730 213856	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.13452964317565	0.379929186120411	697	575	13109	66664784.107946	20
20230730 214658	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	536	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0787433844696173	0.360885086559736	92	5951	11090	67954227.886057	21
20230730 220458	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1556	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0786941364129126	0.457416459332804	710	12354	13147	65758760.11994	22
20230730 221046	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.12813340526745	0.699743387407555	542	28271	12632	68321811.0944528	23
20230730 221633	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.106553832895326	0.188464978524321	542	2240	10726	67642629.6851574	24
20230730 222211	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	558	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.143398447082748	0.833713559007603	543	17481	13722	66823385.3073463	25
20230730 223631	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1317	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.174570912180447	0.456032642215507	542	38726	13142	67138257.8710645	26
20230730 224519	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.13452964317565	0.379929186120411	697	575	13109	66664784.107946	27
20230730 225454	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	760	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.155346465417338	0.288970567151728	221	3147	11314	65236050.9745127	28
20230730 225820	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0744958032398143	0.291650759361628	534	39508	12457	64663602.6986507	29
20230730 230208	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.140905063680274	0.683131235755723	508	34115	12596	69181955.0224888	30
20230730 231324	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1054	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.261492464661271	0.340156878507456	856	48144	11706	67155883.0584708	31
20230730 232638	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1019	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.117966681405583	0.579370874597303	861	33102	12347	67203797.6011994	32
20230730 233158	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.146292461975308	0.647742865634951	138	44672	10541	67033071.964018	33
20230730 234041	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0964708121642398	0.463101536662821	601	48470	11664	68838884.5577211	34
20230730 234745	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.173174823675408	0.318263487785488	567	2250	14477	64148010.4947526	35
20230730 235239	1138	1101012	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	446	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.206981810011923	0.750655851479552	149	18112	10271	64319353.8230885	36
