Feature	Gain	Cover	Frequency
rf_033_015	0.0824539900392898	0.00385981175269063	0.00218928932300438
ctrx_quarter	0.0582507968104633	0.00101784855910014	0.000547322330751095
rf_033_024	0.0564312623051661	0.0060792758053618	0.00214718760525429
rf_005_016	0.0439999663959594	0.00260566836217266	0.00143145840350286
vm_status_SP_tend12	0.0410294936682544	0.002951176135632	0.000757830919501516
mcaja_ahorro_rank	0.0347649759594793	0.00255360525105425	0.0015998652745032
rf_027_027	0.0221618063800924	0.00380101079017213	0.00143145840350286
m_y_sp_rank	0.0213931593336269	0.0037884566348381	0.0007999326372516
vm_Finiciomora_tend12	0.0209005275987552	0.00168074209441078	0.000884136072751768
cdescubierto_preacordado	0.0185849326536962	0.00676599902737794	0.00277871337150556
rf_043_019	0.0176845011512803	0.00457685468876169	0.00164196699225328
rf_049_025	0.0168858519409348	0.00379145644775533	0.00126305153250253
ctrx_quarter_normalizado	0.0153989357559894	0.00161182910820578	0.000631525766251263
rf_041_015	0.0149571283523302	0.00287526667218077	0.00189457729875379
mcuentas_saldo_rank	0.0140991341887811	0.00527440593919355	0.00235769619400472
rf_019_016	0.0135023100710406	0.00133137838858643	0.00197878073425396
rf_024_023	0.0128174811963043	0.00306693990370036	0.000926237790501852
vm_status01	0.00983055488376296	0.00175019177553995	0.00126305153250253
rf_018_015	0.0082261160768261	0.000731329390777976	0.00155776355675312
foto_mes	0.00783585117684993	0.00929318833326512	0.00442068036375884
Visa_mpagospesos_rank	0.00771804748476699	0.0013566601452277	0.00290501852475581
m_anclaje_pesado_rank	0.00664228289020086	0.00707176884698866	0.00193667901650387
c_e_sp	0.0065378964499908	0.000540219704359907	0.000210508588750421
rf_005_021	0.00653500835786647	0.00131435846237666	0.00189457729875379
mcuentas_saldo_rank_tend12	0.00603219898556871	0.00282135460229826	0.00298922196025598
m_y_sp_rank_avg6	0.00583892284270735	0.000353559740435719	0.000294712024250589
mcuentas_saldo_rank_delta3	0.00572976719400728	0.00246401083859319	0.00324183226675648
cdescubierto_preacordado_tend12	0.00509573531873588	0.00543709486720276	0.000926237790501852
cproductos_delta2	0.00481550512505758	0.00100829575979697	0.000294712024250589
mcomisiones_mantenimiento_rank_tend6	0.00475590736963658	0.00395683039349908	0.00214718760525429
mprestamos_personales_rank	0.00465057369085322	0.00469515903912785	0.00172617042775345
mactivos_margen_rank	0.00395024631931215	0.00539696341937579	0.00332603570225665
ctrx_quarter_normalizado_lag1	0.0038233229609336	0.000146800104097952	0.000294712024250589
mcuenta_corriente_rank_delta3	0.00373924256101093	0.00105866453213806	0.00134725496800269
rf_034_021	0.00373724456418904	0.00150147981727937	0.00231559447625463
cproductos_delta1	0.00339533987316578	0.000274005133942786	8.42034355001684e-05
rf_030_021	0.00338003573360087	0.000655689354968382	0.000884136072751768
mcuenta_corriente_rank	0.00334354962474756	0.00474182032663616	0.00282081508925564
m_anclaje_pesado_rank_delta3	0.0032612283651759	0.00294310009608284	0.00113674637925227
internet_tend12	0.00322450651401936	0.0014049012724812	0.0015998652745032
Visa_delinquency_tend12	0.00309417275560563	0.00365226914049165	0.00168406871000337
rf_021_024	0.00304285856085247	0.000898277312435091	0.00122094981475244
mpayroll_rank	0.00297570713242511	0.00244064562909349	0.000378915459750758
thomebanking	0.00282588121879367	0.00228075806958733	0.00471539238800943
vm_status06_delta2	0.00281735891697502	0.0011299770600541	0.000421017177500842
ctrx_quarter_delta1	0.00280573350256755	0.00199744055344657	0.00122094981475244
Visa_msaldopesos_rank	0.00273982870330782	0.00204358458926257	0.00202088245200404
mpasivos_margen_rank	0.00271431103435404	0.00172758485208322	0.0015998652745032
m_anclaje_pesado_rank_lag1	0.00259783097674629	0.00114320185257632	0.000842034355001684
rf_005_023	0.00259535934535589	0.00095015741027573	0.000421017177500842
ccaja_ahorro_tend6	0.0025708052190532	0.00579863929486012	0.000884136072751768
ctrx_quarter_normalizado_delta2	0.00255605009041424	0.00143890192981428	0.00218928932300438
m_anclaje_pesado_rank_delta1	0.00252742808018482	0.00518142130606421	0.00151566183900303
ctarjeta_visa_transacciones_delta2	0.00250784342715156	0.00314723859959077	0.00113674637925227
Master_fultimo_cierre	0.00239748780070746	0.00059424071806544	0.00143145840350286
ctarjeta_visa_transacciones	0.00233068906520213	0.00195259088135226	0.000715729201751431
mcuentas_saldo_rank_delta2	0.00232694513231592	0.00248920494637967	0.00345234085550691
vm_status06_delta3	0.00231451107160126	0.000795232195614843	0.000336813742000674
m_inversiones_rank	0.0022937098535248	0.00457466933122395	0.000926237790501852
ctrx_quarter_delta3	0.00212660879824061	0.000750111552765255	0.00193667901650387
rf_032_020	0.0020992810793417	0.00200018297500855	0.00227349275850455
rf_028_027	0.0020457344468839	0.00244863556290151	0.00193667901650387
ctrx_quarter_normalizado_delta3	0.00204137320467749	0.000960090741402658	0.00189457729875379
mprestamos_personales_rank_delta1	0.00197657184208139	0.00349360125800698	0.000926237790501852
c_deb_aut_tend12	0.00194543750333186	0.0043814869345639	0.00244189962950488
mcomisiones_mantenimiento_rank_delta3	0.00190826044827119	0.00131389583690722	0.000968339508251937
ccaja_seguridad	0.00189133118801393	0.00781533852378618	0.000968339508251937
m_anclaje_pesado_rank_delta2	0.00188979262406095	0.00629030770612478	0.00185247558100371
m_anclaje_pesado_rank_lag3	0.00182703237337229	0.00125229720935842	0.00117884809700236
rf_011_013	0.00180153652676838	0.000622722583774468	0.000926237790501852
rf_050_018	0.00177401536785242	0.000560342523478093	0.000463118895250926
internet_lag1	0.00174562376713683	0.00274363012858301	0.000463118895250926
tcallcenter_delta3	0.00171754187552962	0.00163501624239137	0.00109464466150219
Visa_mpagominimo_rank	0.00163608489228793	0.00248697298680998	0.00252610306500505
Master_Fvencimiento_tend6	0.0014606372537319	0.00100887041531671	0.0015998652745032
mcuenta_corriente_rank_lag1	0.00143311934050898	0.00161596372689426	0.00193667901650387
cproductos_delta3	0.00143199044307316	0.000567662745966119	0.000210508588750421
mprestamos_personales_rank_tend6	0.00142705077493325	0.00104932499114001	0.000547322330751095
mcomisiones_rank_avg12	0.00140196241251013	0.000974086782122417	0.00164196699225328
mtarjeta_visa_consumo_rank_delta3	0.00133305120030032	0.00149377597674031	0.00206298416975413
mcuenta_debitos_automaticos_rank	0.00133245522271714	0.00541035301643481	0.00138935668575278
vm_mpagominimo_rank	0.00130466312375526	0.0018217799035522	0.00130515325025261
mprestamos_personales_rank_lag2	0.00129234367437613	0.00253353921851803	0.00117884809700236
mautoservicio_rank	0.00128621544308584	0.00116912708760569	0.0007999326372516
ctrx_quarter_normalizado_delta1	0.00127753786522607	0.00291480432987886	0.000968339508251937
mcuenta_corriente_rank_tend12	0.00124968819283797	0.00363149080669896	0.00218928932300438
internet_avg12	0.00123732381233076	0.00148417256330973	0.00252610306500505
mtarjeta_visa_consumo_rank	0.00123240594973792	0.000594140107056077	0.000589424048501179
ctarjeta_visa_transacciones_tend6	0.00122964425157026	0.00119045723883624	0.000926237790501852
vm_fultimo_cierre_tend12	0.00121083243074827	0.00128261352856333	0.00273661165375547
mrentabilidad_annual_rank_lag2	0.00119615858191206	0.00141746869859254	0.00303132367800606
mrentabilidad_annual_rank_delta2	0.00119292944772843	0.00136251687873903	0.00442068036375884
mcomisiones_otras_rank_lag2	0.00119218729901285	0.00113641493016246	0.00290501852475581
mcomisiones_rank_delta3	0.00118851207587267	0.00134631943209966	0.00311552711350623
mrentabilidad_annual_rank_lag3	0.00118398392175132	0.00210984156826945	0.00362074772650724
vmr_mpagominimo_delta2	0.00117740019596276	0.00170294287035732	0.00113674637925227
rf_036_017	0.00115962402927248	0.000810245148223722	0.000463118895250926
mrentabilidad_annual_rank_lag1	0.00115747194982945	0.000922636287119306	0.00227349275850455
ccomisiones_mantenimiento_delta3	0.00114518971458361	0.00185237305734422	0.000378915459750758
mcomisiones_rank_lag3	0.00112196027847014	0.00105768249461721	0.00273661165375547
ccaja_ahorro_tend12	0.00112123622415136	0.00378864736368407	0.000589424048501179
rf_030_027	0.00110124287018265	0.00111250284118855	0.0015998652745032
mcuenta_corriente_rank_avg12	0.00107982004923544	0.00283818873762571	0.00214718760525429
cproductos_tend12	0.0010774630567024	0.00278140894535361	0.00122094981475244
